Date,M4,Log Total Assets,Effective Federal Funds Rate (%),Log Currency in Circulation ($ Bil),Unemployment Rate,Inflation Rate
1/31/2010,7.07,14.63,0.11,6.83,9.80,2.62
2/28/2010,7.06,14.63,0.13,6.83,9.80,2.15
3/31/2010,7.05,14.65,0.17,6.84,9.90,2.29
4/30/2010,7.06,14.66,0.20,6.84,9.90,2.21
5/31/2010,7.06,14.66,0.20,6.84,9.60,2.00
6/30/2010,7.05,14.67,0.18,6.85,9.40,1.12
7/31/2010,7.06,14.66,0.18,6.85,9.40,1.34
8/31/2010,7.07,14.66,0.19,6.85,9.50,1.15
9/30/2010,7.07,14.65,0.20,6.86,9.50,1.12
10/31/2010,7.08,14.65,0.19,6.87,9.40,1.17
11/30/2010,7.08,14.66,0.19,6.88,9.80,1.08
12/31/2010,7.07,14.69,0.18,6.89,9.30,1.44
1/31/2011,7.07,14.71,0.17,6.89,9.10,1.70
2/28/2011,7.07,14.73,0.16,6.89,9.00,2.12
3/31/2011,7.07,14.77,0.14,6.91,9.00,2.62
4/30/2011,7.08,14.80,0.10,6.92,9.10,3.08
5/31/2011,7.09,14.83,0.09,6.92,9.00,3.46
6/30/2011,7.08,14.86,0.09,6.93,9.10,3.50
7/31/2011,7.09,14.87,0.07,6.94,9.00,3.58
8/31/2011,7.08,14.87,0.10,6.94,9.00,3.75
9/30/2011,7.08,14.87,0.08,6.95,9.00,3.81
10/31/2011,7.08,14.86,0.07,6.95,8.80,3.52
11/30/2011,7.08,14.85,0.08,6.96,8.60,3.45
12/31/2011,7.08,14.88,0.07,6.97,8.50,3.06
1/31/2012,7.09,14.89,0.08,6.98,8.30,3.01
2/29/2012,7.09,14.89,0.10,6.98,8.30,2.90
3/31/2012,7.09,14.88,0.13,7.00,8.20,2.58
4/30/2012,7.10,14.87,0.14,7.00,8.20,2.27
5/31/2012,7.10,14.87,0.16,7.01,8.20,1.74
6/30/2012,7.11,14.87,0.16,7.01,8.20,1.65
7/31/2012,7.11,14.87,0.16,7.02,8.20,1.42
8/31/2012,7.12,14.86,0.13,7.02,8.10,1.69
9/30/2012,7.12,14.85,0.14,7.03,7.80,1.95
10/31/2012,7.12,14.85,0.16,7.03,7.80,2.16
11/30/2012,7.13,14.87,0.16,7.05,7.70,1.80
12/31/2012,7.14,14.88,0.17,7.05,7.90,1.76
1/31/2013,7.15,14.90,0.14,7.06,8.00,1.68
2/28/2013,7.14,14.94,0.15,7.06,7.70,2.02
3/31/2013,7.14,14.97,0.14,7.07,7.50,1.52
4/30/2013,7.15,15.00,0.15,7.07,7.60,1.14
5/31/2013,7.15,15.03,0.11,7.08,7.50,1.39
6/30/2013,7.15,15.05,0.09,7.08,7.50,1.72
7/31/2013,7.15,15.08,0.09,7.09,7.30,1.89
8/31/2013,7.15,15.11,0.08,7.09,7.20,1.54
9/30/2013,7.16,15.12,0.08,7.10,7.20,1.09
10/31/2013,7.16,15.15,0.09,7.10,7.20,0.88
11/30/2013,7.16,15.18,0.08,7.11,6.90,1.23
12/31/2013,7.16,15.20,0.09,7.12,6.70,1.51
1/31/2014,7.16,15.22,0.07,7.12,6.60,1.56
2/28/2014,7.17,15.24,0.07,7.12,6.70,1.12
3/31/2014,7.17,15.25,0.08,7.14,6.70,1.61
4/30/2014,7.17,15.27,0.09,7.15,6.20,2.02
5/31/2014,7.17,15.28,0.09,7.15,6.30,2.17
6/30/2014,7.17,15.29,0.10,7.15,6.10,2.06
7/31/2014,7.17,15.30,0.09,7.16,6.20,1.97
8/31/2014,7.17,15.30,0.09,7.16,6.10,1.72
9/30/2014,7.17,15.31,0.09,7.16,5.90,1.68
10/31/2014,7.18,15.31,0.09,7.17,5.70,1.61
