Date,M4,Log Total Assets,Effective Federal Funds Rate (%),Log Currency in Circulation ($ Bil),Unemployment Rate
1/31/2010,0.00,0.00,0.00,6.83,0.00
2/28/2010,-0.01,0.00,0.00,6.83,0.00
3/31/2010,-0.01,0.02,0.02,6.84,0.1
4/30/2010,0.01,-0.01,-0.01,6.84,-0.1
5/31/2010,0,-0.01,-0.03,6.84,-0.3
6/30/2010,-0.01,0.01,-0.02,6.85,0.1
7/31/2010,0.01,-0.02,0.02,6.85,0.2
8/31/2010,0.01,0.01,0.01,6.85,0.1
9/30/2010,0,-0.01,0,6.86,-0.1
10/31/2010,0.01,0.01,-0.02,6.87,-0.1
11/30/2010,0,0.01,0.01,6.88,0.5
12/31/2010,-0.01,0.02,-0.01,6.89,-0.9
1/31/2011,0,-0.01,2.78E-17,6.89,0.3
2/28/2011,0,-1.78E-15,-2.78E-17,6.89,0.1
3/31/2011,0,0.02,-0.01,6.91,0.1
4/30/2011,0.01,-0.01,-0.02,6.92,0.1
5/31/2011,0.01,-1.78E-15,0.03,6.92,-0.2
6/30/2011,-0.01,0,0.01,6.93,0.2
7/31/2011,0.01,-0.02,-0.02,6.94,-0.2
8/31/2011,-0.01,-0.01,0.05,6.94,0.1
9/30/2011,0,0,-0.05,6.95,0
10/31/2011,0,-0.01,0.01,6.95,-0.2
11/30/2011,0,0,0.02,6.96,-1.78E-15
12/31/2011,0,0.04,-0.02,6.97,0.1
1/31/2012,0.01,-0.02,0.02,6.98,-0.1
2/29/2012,0,-0.01,0.01,6.98,0.2
3/31/2012,0,-0.01,0.01,7.00,-0.1
4/30/2012,0.01,-1.78E-15,-0.02,7.00,0.1
5/31/2012,0,0.01,0.01,7.01,0
6/30/2012,0.01,0,-0.02,7.01,0
7/31/2012,0,0,0,7.02,0
8/31/2012,0.01,-0.01,-0.03,7.02,-0.1
9/30/2012,0,0,0.04,7.03,-0.2
10/31/2012,0,0.01,0.01,7.03,0.3
11/30/2012,0.01,0.02,-0.02,7.05,-0.1
12/31/2012,0.01,-0.01,0.01,7.05,0.3
1/31/2013,0.01,0.01,-0.04,7.06,-0.1
2/28/2013,-0.01,0.02,0.04,7.06,-0.4
3/31/2013,0,-0.01,-0.02,7.07,0.1
4/30/2013,0.01,-1.78E-15,0.02,7.07,0.3
5/31/2013,0,0,-0.05,7.08,-0.2
6/30/2013,0,-0.01,0.02,7.08,0.1
7/31/2013,0,0.01,0.02,7.09,-0.2
8/31/2013,0,0,-0.01,7.09,0.1
9/30/2013,0.01,-0.02,0.01,7.10,0.1
10/31/2013,0,0.02,0.01,7.10,0
11/30/2013,0,-1.78E-15,-0.02,7.11,-0.3
12/31/2013,0,-0.01,0.02,7.12,0.1
1/31/2014,0,1.78E-15,-0.03,7.12,0.1
2/28/2014,0.01,-1.78E-15,0.02,7.12,0.2
3/31/2014,0,-0.01,0.01,7.14,-0.1
4/30/2014,0,0.01,0,7.15,-0.5
5/31/2014,0,-0.01,-0.01,7.15,0.6
6/30/2014,0,0,0.01,7.15,-0.3
7/31/2014,0,1.78E-15,-0.02,7.16,0.3
8/31/2014,0,-0.01,0.01,7.16,-0.2
9/30/2014,0,0.01,0,7.16,-0.1
10/31/2014,0.01,-0.01,0,7.17,-8.88E-16
11/30/2014,0,0.01,0,7.18,0.3
12/31/2014,0,-0.01,0.03,7.19,-0.3
1/31/2015,0.01,0,-0.03,7.20,0.3
2/28/2015,0,0,-0.01,7.20,-0.3
3/31/2015,0.01,0,0.01,7.21,0.1
4/30/2015,-0.01,0,0.02,7.22,0.1
5/31/2015,0.01,0,-0.03,7.22,0.2
6/30/2015,0,0,0.02,7.22,-0.5
7/31/2015,0.01,0,-0.01,7.22,0.2
8/31/2015,0,0,0.01,7.23,-8.88E-16
9/30/2015,0,0,-0.01,7.23,8.88E-16
10/31/2015,0,0,-0.02,7.24,0.1
11/30/2015,0.01,0,0.02,7.25,0.1
12/31/2015,0,0,0.12,7.25,-0.2
1/31/2016,0.01,0,-0.02,7.26,-0.1
2/29/2016,0,0,-0.06,7.26,0.3
3/31/2016,0.01,0,-0.06,7.27,-8.88E-16
4/30/2016,0,0,0.03,7.28,0
5/31/2016,0.01,-0.01,-0.01,7.28,-0.4
6/30/2016,0,0.01,0.01,7.28,0.4
7/31/2016,0,0,0,7.29,-0.2
8/31/2016,0.01,0,0,7.29,0.2
9/30/2016,0,0,-0.01,7.29,-8.88E-16
10/31/2016,0,0,0,7.30,-0.2
11/30/2016,0.01,0,0.01,7.31,-0.1
12/31/2016,0,0,0.12,7.31,0.2
1/31/2017,0,0,-0.02,7.32,0
2/28/2017,0.01,0,-0.1,7.32,-0.1
3/31/2017,0,0,0.12,7.33,-0.1
4/30/2017,0.01,0,-0.02,7.34,0.3
5/31/2017,0,0,-0.1,7.34,-0.2
6/30/2017,0,0,0.12,7.35,-8.88E-16
7/31/2017,0.01,0,-0.02,7.35,0.1
8/31/2017,0,0,-0.1,7.36,0.1
9/30/2017,0.01,0,-0.02,7.36,-0.3
10/31/2017,0,0,0.01,7.37,0.1
11/30/2017,0.01,0,0.01,7.37,0.2
12/31/2017,0,0,0.13,7.38,-0.2
1/31/2018,0,0,-0.02,7.38,8.88E-16
2/28/2018,0,-0.01,-0.12,7.39,0.2
3/31/2018,0.01,0.01,0.09,7.40,-0.2
4/30/2018,0,-0.01,0.09,7.40,0.1
5/31/2018,0,1.78E-15,-0.17,7.41,-0.2
6/30/2018,0.01,0.01,0.11,7.42,0.4
7/31/2018,0,-0.01,-0.03,7.42,-0.4
8/31/2018,0.01,0,-0.08,7.42,0.2
9/30/2018,0,0,0.03,7.43,-0.1
10/31/2018,0,0,0.19,7.43,0.2
11/30/2018,0,0,-0.22,7.44,-0.1
12/31/2018,0.01,0,0.06,7.44,0.1
1/31/2019,0,0,0.06,7.44,0
2/28/2019,0.01,-1.78E-15,-0.13,7.44,-0.3
3/31/2019,0,1.78E-15,0.01,7.45,0.2
4/30/2019,0.01,0.01,-4.44E-16,7.45,-0.1
5/31/2019,0,-0.02,-0.04,7.46,0.1
6/30/2019,0.01,0.01,0.02,7.46,-0.1
7/31/2019,0,0,0.03,7.47,0.1
8/31/2019,0.01,0,-0.29,7.47,0.1
9/30/2019,0,0.02,0.18,7.47,-0.3
10/31/2019,0.01,0.03,-0.12,7.48,0.3
11/30/2019,0.01,-0.02,-0.07,7.49,-0.1
12/31/2019,0,-1.78E-15,0.28,7.49,0
