Date,Log M4 including Treasuries,Log Total Assets,Effective Federal Funds Rate (%),Loss Function,Log Currency in Circulation ($ Bil)
12/31/2002,6.763,13.495,1.238,-4.053,6.52
1/31/2003,6.769,13.494,1.235,-3.288,6.52
2/28/2003,6.774,13.489,1.262,-3.684,6.52
3/31/2003,6.778,13.492,1.253,-3.664,6.53
4/30/2003,6.782,13.510,1.258,-4.162,6.53
5/31/2003,6.791,13.512,1.259,-4.546,6.54
6/30/2003,6.800,13.513,1.223,-5.513,6.54
7/31/2003,6.806,13.517,1.011,-5.021,6.54
8/31/2003,6.802,13.515,1.029,-4.671,6.54
9/30/2003,6.800,13.519,1.010,-4.696,6.55
10/31/2003,6.802,13.524,1.010,-4.189,6.55
11/30/2003,6.801,13.525,0.996,-3.396,6.56
12/31/2003,6.801,13.541,0.984,-3.021,6.57
1/31/2004,6.806,13.541,0.997,-2.919,6.57
2/29/2004,6.813,13.533,1.007,-2.582,6.57
3/31/2004,6.822,13.535,1.002,-3.259,6.57
4/30/2004,6.829,13.544,1.004,-2.560,6.57
5/31/2004,6.835,13.545,1.005,-2.560,6.58
6/30/2004,6.843,13.555,1.026,-2.548,6.59
7/31/2004,6.845,13.562,1.264,-2.251,6.60
8/31/2004,6.849,13.556,1.429,-1.970,6.60
9/30/2004,6.856,13.575,1.605,-1.963,6.60
10/31/2004,6.859,13.578,1.761,-2.250,6.61
11/30/2004,6.862,13.591,1.932,-1.956,6.62
12/31/2004,6.871,13.604,2.156,-1.956,6.62
1/31/2005,6.869,13.601,2.279,-1.661,6.62
2/28/2005,6.873,13.593,2.502,-1.930,6.62
3/31/2005,6.875,13.595,2.629,-1.375,6.62
4/30/2005,6.880,13.597,2.785,-1.428,6.62
5/31/2005,6.887,13.599,3.003,-1.179,6.63
6/30/2005,6.891,13.608,3.036,-0.993,6.63
7/31/2005,6.894,13.611,3.263,-0.987,6.64
8/31/2005,6.901,13.611,3.500,-0.785,6.64
9/30/2005,6.907,13.618,3.623,-0.962,6.64
10/31/2005,6.916,13.616,3.779,-0.930,6.64
11/30/2005,6.923,13.625,3.999,-0.906,6.65
12/31/2005,6.925,13.641,4.157,-0.731,6.66
1/31/2006,6.930,13.637,4.285,-0.469,6.67
2/28/2006,6.932,13.634,4.491,-0.621,6.67
3/31/2006,6.935,13.640,4.589,-0.462,6.67
4/30/2006,6.938,13.639,4.790,-0.359,6.67
5/31/2006,6.942,13.644,4.940,-0.193,6.68
6/30/2006,6.946,13.648,4.991,-0.005,6.68
7/31/2006,6.952,13.649,5.235,-0.192,6.68
8/31/2006,6.957,13.646,5.246,-0.041,6.68
9/30/2006,6.961,13.646,5.255,0.117,6.68
10/31/2006,6.967,13.653,5.245,0.087,6.68
11/30/2006,6.976,13.663,5.246,-0.169,6.69
12/31/2006,6.982,13.668,5.238,-0.060,6.70
1/31/2007,6.984,13.666,5.248,-0.110,6.70
2/28/2007,6.988,13.673,5.259,0.060,6.69
3/31/2007,6.993,13.674,5.257,-0.017,6.69
4/30/2007,7.002,13.673,5.250,-0.205,6.69
5/31/2007,7.004,13.682,5.254,-0.154,6.70
6/30/2007,7.009,13.673,5.254,-0.360,6.70
7/31/2007,7.015,13.677,5.258,-0.488,6.70
8/31/2007,7.023,13.673,5.022,-0.360,6.70
9/30/2007,7.029,13.686,4.938,-0.480,6.70
10/31/2007,7.037,13.685,4.755,-0.456,6.70
11/30/2007,7.045,13.695,4.487,-0.378,6.71
12/31/2007,7.048,13.694,4.245,-0.836,6.71
1/31/2008,7.054,13.704,3.940,-0.963,6.71
2/29/2008,7.066,13.690,2.981,-0.805,6.70
3/31/2008,7.081,13.699,2.610,-1.182,6.71
4/30/2008,7.074,13.695,2.278,-0.993,6.70
5/31/2008,7.080,13.702,1.978,-1.938,6.71
6/30/2008,7.080,13.705,2.001,-2.514,6.71
7/31/2008,7.085,13.717,2.010,-3.180,6.72
8/31/2008,7.089,13.717,1.996,-4.363,6.72
9/30/2008,7.111,13.825,1.812,-4.408,6.73
10/31/2008,7.137,14.362,0.969,-6.384,6.74
11/30/2008,7.132,14.579,0.388,-8.212,6.76
12/31/2008,7.126,14.614,0.155,-11.635,6.78
1/31/2009,7.135,14.525,0.154,-15.638,6.79
2/28/2009,7.131,14.448,0.222,-19.727,6.80
3/31/2009,7.132,14.501,0.181,-23.621,6.80
4/30/2009,7.118,14.569,0.150,-26.147,6.81
5/31/2009,7.126,14.574,0.177,-30.547,6.81
6/30/2009,7.126,14.537,0.206,-31.889,6.81
7/31/2009,7.114,14.520,0.156,-32.139,6.81
8/31/2009,7.112,14.526,0.160,-33.179,6.81
9/30/2009,7.107,14.568,0.147,-35.267,6.82
10/31/2009,7.092,14.592,0.118,-36.578,6.82
11/30/2009,7.082,14.594,0.119,-35.202,6.82
12/31/2009,7.076,14.613,0.118,-35.050,6.83
1/31/2010,7.069,14.629,0.110,-33.736,6.83
2/28/2010,7.063,14.634,0.126,-33.731,6.83
3/31/2010,7.054,14.648,0.165,-34.860,6.84
4/30/2010,7.058,14.661,0.198,-34.969,6.84
5/31/2010,7.061,14.664,0.201,-31.492,6.84
6/30/2010,7.049,14.665,0.177,-29.357,6.85
7/31/2010,7.062,14.662,0.183,-29.441,6.85
8/31/2010,7.068,14.656,0.189,-30.589,6.85
9/30/2010,7.069,14.649,0.195,-30.743,6.86
10/31/2010,7.079,14.650,0.191,-30.008,6.87
11/30/2010,7.075,14.656,0.194,-34.412,6.88
12/31/2010,7.069,14.688,0.183,-28.982,6.89
1/31/2011,7.065,14.709,0.168,-26.776,6.89
2/28/2011,7.065,14.733,0.157,-25.619,6.89
3/31/2011,7.069,14.766,0.139,-25.617,6.91
4/30/2011,7.082,14.799,0.098,-26.376,6.92
5/31/2011,7.091,14.827,0.094,-25.227,6.92
6/30/2011,7.083,14.856,0.092,-26.182,6.93
7/31/2011,7.085,14.870,0.071,-25.071,6.94
8/31/2011,7.082,14.867,0.096,-25.026,6.94
9/30/2011,7.080,14.866,0.084,-25.022,6.95
10/31/2011,7.080,14.864,0.071,-23.105,6.95
11/30/2011,7.082,14.854,0.081,-21.190,6.96
12/31/2011,7.078,14.877,0.072,-20.251,6.97
1/31/2012,7.087,14.885,0.082,-18.486,6.98
2/29/2012,7.091,14.890,0.104,-18.489,6.98
3/31/2012,7.092,14.876,0.127,-17.638,7.00
4/30/2012,7.097,14.869,0.139,-17.641,7.00
5/31/2012,7.097,14.865,0.156,-17.670,7.01
6/30/2012,7.106,14.868,0.162,-17.673,7.01
7/31/2012,7.113,14.866,0.156,-17.691,7.02
8/31/2012,7.115,14.858,0.132,-16.943,7.02
9/30/2012,7.123,14.852,0.144,-14.535,7.03
10/31/2012,7.124,14.854,0.158,-14.452,7.03
11/30/2012,7.132,14.866,0.161,-13.737,7.05
12/31/2012,7.144,14.881,0.165,-15.307,7.05
1/31/2013,7.147,14.903,0.143,-16.165,7.06
2/28/2013,7.144,14.937,0.145,-13.871,7.06
3/31/2013,7.141,14.970,0.144,-12.504,7.07
4/30/2013,7.148,14.999,0.145,-13.296,7.07
5/31/2013,7.146,15.026,0.109,-12.578,7.08
6/30/2013,7.148,15.051,0.094,-12.511,7.08
7/31/2013,7.148,15.079,0.093,-11.127,7.09
8/31/2013,7.150,15.105,0.083,-10.427,7.09
9/30/2013,7.155,15.122,0.080,-10.438,7.10
10/31/2013,7.159,15.151,0.087,-10.465,7.10
11/30/2013,7.159,15.176,0.084,-8.575,7.11
12/31/2013,7.163,15.200,0.085,-7.407,7.12
1/31/2014,7.157,15.218,0.072,-6.970,7.12
2/28/2014,7.165,15.235,0.066,-7.558,7.12
3/31/2014,7.168,15.251,0.078,-7.465,7.14
4/30/2014,7.165,15.267,0.090,-4.932,7.15
5/31/2014,7.170,15.279,0.087,-5.345,7.15
6/30/2014,7.171,15.286,0.096,-4.490,7.15
7/31/2014,7.172,15.296,0.091,-4.891,7.16
8/31/2014,7.173,15.301,0.088,-4.503,7.16
9/30/2014,7.173,15.305,0.088,-3.696,7.16
